Fecha,Infectados Totales,Muertes Totales
26/02/20,1,0
27/02/20,1,0
28/02/20,1,0
29/02/20,2,0
01/03/20,2,0
02/03/20,2,0
03/03/20,2,0
04/03/20,3,0
05/03/20,7,0
06/03/20,13,0
07/03/20,19,0
08/03/20,25,0
09/03/20,25,0
10/03/20,34,0
11/03/20,52,0
12/03/20,77,0
13/03/20,98,0
14/03/20,121,0
15/03/20,200,0
16/03/20,234,0
17/03/20,291,1
18/03/20,428,4
19/03/20,621,6
20/03/20,904,11
21/03/20,1128,18
22/03/20,1546,25
23/03/20,1891,34
24/03/20,2201,46
25/03/20,2433,57
26/03/20,2915,77
27/03/20,3417,92
28/03/20,3904,114
29/03/20,4256,136
30/03/20,4579,159
31/03/20,5717,201
01/04/20,6836,241
02/04/20,7910,299
03/04/20,9056,359
04/04/20,10278,432
05/04/20,11130,486
06/04/20,12056,553
07/04/20,13717,667
08/04/20,15927,800
09/04/20,17857,941
10/04/20,19638,1056
